date_2020,ID,dateu,PM2.5_daily,temperature
3/5/2022,20521,2022-03-05,49.152,84.133
3/2/2022,47457,2022-03-02,48.906,82.667
2/21/2022,11180,2022-02-21,48.07,74
3/3/2022,12807,2022-03-03,47.913,104.7
2/25/2022,6022,2022-02-25,47.757,82.1
3/5/2022,6006,2022-03-05,47.669,77.667
3/5/2022,47481,2022-03-05,47.44,71.433
2/24/2022,3050,2022-02-24,47.377,76.433
3/6/2022,31261,2022-03-06,47.351,74.8
2/25/2022,6028,2022-02-25,47.286,80
2/24/2022,55111,2022-02-24,47.282,70.483
3/13/2022,38917,2022-03-13,47.176,55.433
2/22/2022,52885,2022-02-22,47.084,75.133
3/8/2022,47477,2022-03-08,46.958,80.867
3/3/2022,47465,2022-03-03,46.413,85
2/21/2022,12807,2022-02-21,46.293,88.3
3/16/2022,47493,2022-03-16,46.087,79.433
3/6/2022,47475,2022-03-06,45.886,-227
3/6/2022,36451,2022-03-06,45.802,80.84
3/5/2022,11174,2022-03-05,45.65,73.933
3/16/2022,47555,2022-03-16,45.614,78
3/10/2022,12835,2022-03-10,45.547,64.767
2/24/2022,12807,2022-02-24,45.468,75.767
3/6/2022,25561,2022-03-06,45.464,87.533
2/23/2022,52885,2022-02-23,45.459,75.1
3/3/2022,47487,2022-03-03,45.443,84.933
2/27/2022,38917,2022-02-27,45.252,53.133
3/5/2022,11184,2022-03-05,45.163,80.533
2/22/2022,6006,2022-02-22,44.971,79.633
3/16/2022,39969,2022-03-16,44.919,NA
2/22/2022,2873,2022-02-22,44.863,79.7
3/5/2022,11644,2022-03-05,44.832,75.7
3/6/2022,6008,2022-03-06,44.723,87.9
2/25/2022,46509,2022-02-25,44.709,58
2/25/2022,4329,2022-02-25,44.683,77.733
3/3/2022,12823,2022-03-03,44.575,99.433
3/19/2022,54093,2022-03-19,44.564,81.233
3/5/2022,47617,2022-03-05,44.529,74.483
3/16/2022,47499,2022-03-16,44.43,82.567
2/25/2022,20521,2022-02-25,44.425,82.233
3/3/2022,47459,2022-03-03,44.245,90.567
2/21/2022,55111,2022-02-21,44.225,74.107
3/6/2022,31619,2022-03-06,44.143,85.6
3/8/2022,6020,2022-03-08,44.046,68.067
3/16/2022,47475,2022-03-16,43.998,-227
3/16/2022,55773,2022-03-16,43.982,75.533
3/16/2022,47495,2022-03-16,43.934,77.233
3/6/2022,38873,2022-03-06,43.757,80.2
2/24/2022,7906,2022-02-24,43.738,80
3/16/2022,47483,2022-03-16,43.636,78.1
3/3/2022,6112,2022-03-03,43.6,91.833
3/3/2022,20809,2022-03-03,43.446,88.033
3/5/2022,6008,2022-03-05,43.369,81.1
